ds,yhat,yhat_lower,yhat_upper
2016-11-15,14373.909128875535,12891.927087289167,15803.532155406361
2016-11-16,14355.733088327128,12787.389530909231,15851.844400479806
2016-11-17,14415.693755034219,13025.111010630368,16070.490883643952
2016-11-18,14209.982400494557,12816.851843985902,15708.734935992888
2016-11-19,13086.825067105368,11609.163333662254,14605.731290582331
2016-11-20,12733.7257860593,11240.6971746594,14247.305945214277
2016-11-21,14433.30433129821,12980.794320071584,16161.024100914587
2016-11-22,14766.704885940917,13316.56899872073,16293.480876150976
2016-11-23,14809.075935864135,13403.31963203772,16339.612604037557
2016-11-24,14929.56505704171,13401.410884191428,16468.72876865448
2016-11-25,14782.6927819275,13286.307297773066,16363.019225736482
2016-11-26,13714.99722264822,12134.460138788914,15098.213555937189
2016-11-27,13412.32393240172,11812.522904083527,14811.02424776023
2016-11-28,15155.710494542061,13637.724087893195,16606.18078053919
2016-11-29,15524.84089776029,13953.615901885198,17057.333761149952
2016-11-30,15593.568706678356,13998.106541576542,17057.54682434262
2016-12-01,15729.951439299093,14292.039370172424,17166.238614177444
2016-12-02,15587.659167878519,13982.82327497648,17132.533094976407
2016-12-03,14512.647973296149,12960.307354454842,16020.62082062651
2016-12-04,14190.471838675707,12730.020787631876,15696.206377322518
2016-12-05,15902.181755366582,14400.446025359675,17437.782253403955
2016-12-06,16227.786584745725,14708.600632217618,17855.731103404676
2016-12-07,16241.774388569936,14679.265580549669,17804.875008480172
2016-12-08,16313.136571401363,14816.013750334705,17915.97617283183
2016-12-09,16096.758016927666,14681.299958288037,17584.413411319856
2016-12-10,14940.064244142073,13492.763220982142,16464.453484786627
2016-12-11,14530.299786714713,13051.749245029952,16040.718896292727
2016-12-12,16150.387392626702,14473.221896415002,17657.8331097593
2016-12-13,16382.343596712695,14947.270936095174,17922.85314575435
2016-12-14,16302.75054632084,14790.180524133717,17785.651674908375
2016-12-15,16282.727718281083,14879.083326856973,17863.833961745626
2016-12-16,15979.268095634263,14442.7980797941,17540.117787433097
2016-12-17,14741.831270614104,13243.99704353563,16306.78105479233
2016-12-18,14259.569132106084,12846.143990452014,15778.62623863174
2016-12-19,15817.135163280813,14282.5555641049,17410.395721594174
2016-12-20,15998.054264805727,14368.061458655084,17406.74007937965
2016-12-21,15880.154242260933,14407.841161977749,17425.39927360808
2016-12-22,15835.503714665985,14314.749087885817,17327.338242683178
2016-12-23,15521.721959761713,13737.151519398554,16996.260782261714
2016-12-24,14288.553911105535,12758.062132878256,15848.580882077847
2016-12-25,13825.08649350896,12363.296048985434,15322.475403638933
2016-12-26,15415.557614935675,13851.073625218596,16910.752831728318
2016-12-27,15642.734777878673,14128.169046891115,17233.725531537562
2016-12-28,15583.3642492176,14100.90442253681,17186.61470135101
2016-12-29,15608.135103643364,14042.685592448077,17051.06843928235
2016-12-30,15373.022983307303,13842.5739895369,16897.3778678338
2016-12-31,14225.905903012137,12790.217544131357,15749.06175930318
2017-01-01,13853.827212575557,12275.104247924213,15382.842557415017
2017-01-02,15538.85580002224,13985.660912109826,17011.359700337656
2017-01-03,15861.51913808042,14336.867288463383,17371.0184133561
2017-01-04,15896.30866407603,14276.407592349811,17268.97369704871
2017-01-05,16011.700310624989,14469.75135163266,17416.348155381158
2017-01-06,15861.553524851119,14299.247504023584,17276.880219866765
2017-01-07,14791.779634594326,13319.792470322074,16260.857419596925
2017-01-08,14487.653277253643,12974.338693690639,15965.175773544675
2017-01-09,16229.71569210775,14684.289967256347,17591.686212633093
2017-01-10,16597.244344531642,15143.95544094427,18165.849281495575
2017-01-11,16663.78741780285,15279.915462783592,18154.19519473468
2017-01-12,16797.205241554144,15212.552948401477,18338.554842286238
2017-01-13,16651.081472454505,15098.014530843902,18141.40543415986
2017-01-14,15571.39460381209,14034.295259229117,17074.266293514418
2017-01-15,15243.823485433437,13735.768716773055,16719.784130761975
2017-01-16,16949.635868170953,15460.044352507015,18362.734507902147
2017-01-17,17269.134896439136,15654.991915578637,18806.590683393188
2017-01-18,17277.162766951205,15648.03761817556,18731.369237648403
2017-01-19,17343.10451359229,15833.32577177078,18806.406769305246
2017-01-20,17122.255807284237,15639.8407588455,18694.423374793747
2017-01-21,15962.44657285827,14512.26715007559,17595.43688622421
2017-01-22,15551.295446765704,13933.534118375856,17023.900732665676
2017-01-23,17172.045511894325,15575.355652904931,18639.33678154901
2017-01-24,17406.957693511653,15933.829492048726,18939.665616961087
2017-01-25,17332.762493912964,15769.389279940153,18904.851963490564
2017-01-26,17320.61444183151,15850.653993974875,18871.502569799857
2017-01-27,17027.414479858046,15606.651894244362,18598.73176867997
2017-01-28,15802.39330687689,14220.546204568782,17301.605702212597
2017-01-29,15334.331761954867,13820.505297098234,16950.919596331776
